title,date,site_name,city,county,state,country,fqa_db_region,fqa_db_publication_year,fqa_db_description,custom_fqa_db_name,custom_fqa_db_description,practitioner,latitude,longitude,weather_notes,duration_notes,community_type_notes,other_notes,private_public,total_mean_c,native_mean_c,total_fqi,native_fqi,adjusted_fqi,c_value_zero,c_value_low,c_value_mid,c_value_high,native_tree_mean_c,native_shrub_mean_c,native_herbaceous_mean_c,total_species,native_species,non_native_species,mean_wetness,native_mean_wetness,tree,shrub,vine,forb,grass,sedge,rush,fern,bryophyte,annual,perennial,biennial,native_annual,native_perennial,native_biennial
Quadrat 2,2022-10-12,Quadrat 1,Wheaton,Dupage,Il.,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,none,NA,NA,NA,NA,NA,NA,Public,2.3,4.5,4.6,6.4,31.8,50,0,50,0,NA,NA,4.5,4,2,2,0,-1,0,0,0,4,0,0,0,0,0,1,3,0,0,2,0
Seavey Ditch wetland 2,2022-10-11,Seavey Ditch,Mundelein,Lake,Illinois,United States,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,John Larson,NA,Wisconsin (WI),NA,NA,NA,NA,Public,2.1,2.7,13.3,15,23.8,35,30,32.5,2.5,1.7,2,2.9,40,31,9,-0.6,-0.7,5,3,0,23,4,5,0,0,0,5,35,0,4,27,0
Seavey Drainageway,2022-10-11,Seavey Ditch,Mundelein,Lake,Illinois,United States,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,John Larson,NA,Wisconsin (WI),NA,NA,NA,NA,Public,0.5,1,1.9,2.6,6.8,66.7,33.3,0,0,0.3,NA,1.5,15,7,8,0.3,0,3,3,1,6,2,0,0,0,0,0,14,1,0,7,0
Langdon Park,2022-10-06,Clarendon HIlls Park,Clarendon Hills,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Steve Lane,NA,NA,Clear,2 hours,Bluff Ecosystem,NA,Public,1.5,2.3,9.9,12.2,18.3,54.5,22.7,22.7,0,2.4,1.3,2.4,44,28,16,0.7,0.4,12,6,2,20,3,0,0,1,0,2,37,5,2,25,1
Crawford No. 2 Immediate Digs 2023,2022-10-03,2021-37 A&B,NA,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Candace Cunningham,41.72688644,-87.90546918,NA,NA,NA,NA,Public,0.9,1.7,3.4,4.5,12,57.1,42.9,0,0,NA,NA,1.7,14,7,7,0.5,0.1,0,0,0,12,2,0,0,0,0,2,10,2,1,6,0
2021-41: Crawford No. 2 Immediate Digs 2023,2022-10-03,2021-41,NA,Cook,IL,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Candace Cunningham,NA,NA,NA,NA,NA,NA,Public,0.6,1.8,2.2,4,10.8,85.7,0,14.3,0,NA,NA,1.8,14,5,9,0.4,0.6,0,1,2,8,2,1,0,0,0,5,7,2,2,3,0
W03 FQA,2022-09-08,Crete Robinson Engineer,Crete,Will,Illinois,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,"SM, RM",NA,NA,NA,NA,NA,NA,Public,3.5,3.8,17.1,17.8,36.4,8.3,37.5,41.7,12.5,2.5,4.5,3.8,24,22,2,-0.9,-0.9,2,2,1,14,1,4,0,0,0,2,22,0,2,20,0
Somme Spring Seeds 2022,2022-09-04,Sommes,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Eriko Kojima,NA,IL,NA,NA,NA,NA,Public,6.4,6.4,68.3,68.3,64,0,14,32.5,53.5,NA,NA,6.4,114,114,0,0.3,0.3,0,0,1,73,9,31,0,0,0,6,106,2,6,106,2
Cottage Prairie,2022-08-31,Ayers Sand Prairie,NA,Carroll,Illinois,United States,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Jack Shouba,NA,NA,NA,NA,NA,NA,Public,0,0,0,0,0,100,0,0,0,NA,NA,NA,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
East Basin,2022-08-23,Deer Haven II,Orland Park,NA,IL,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Brian McKee,NA,NA,NA,NA,NA,East Basin,Public,1.2,2.2,9.4,13,16.5,64.5,19.4,14.5,1.6,NA,2,2.2,62,35,27,0.2,-0.2,1,2,1,43,11,3,0,1,0,18,37,7,8,25,2
West Basin,2022-08-23,Deer Haven II,Orland Park,NA,IL,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Brian McKee,NA,NA,NA,NA,NA,NA,Public,1.7,3,13.7,18,22.3,61.5,20,10.8,7.7,1,NA,3.1,65,36,29,0.4,0,3,0,1,50,9,2,0,0,0,17,41,7,9,26,1
Summer 2022 Orrington,2022-08-11,Orrington Elementary,Evanston,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Marcos Sanchez,NA,NA,NA,NA,NA,NA,Public,2.7,4,14.3,17.4,33,53.6,14.3,10.7,21.4,3.5,9,3.8,28,19,9,0.8,0.5,4,3,1,16,3,1,0,0,0,2,23,3,2,16,1
SealMaster Streamwood,2022-08-10,SealMaster,Streamwood,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,McKee,NA,NA,Clear 75F,NA,NA,NA,Public,1.9,3.7,14,19.2,26.2,63,16.7,9.3,11.1,0,NA,3.8,54,27,27,0.5,0,1,0,0,43,7,3,0,0,0,13,32,9,4,21,2
Summer 2022 Oakton,2022-08-04,Oakton Elementary,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Angela Wang,NA,NA,NA,NA,NA,NA,Public,4.3,4.8,24.3,25.8,45.7,25,18.8,21.9,34.4,NA,5,4.8,32,29,3,0.6,0.6,0,1,0,24,4,3,0,0,0,2,30,0,2,27,0
"Summer 2022 Hinman NE, NW, Cen N",2022-08-03,835 Hinman Ave,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Angela Wang,NA,NA,NA,NA,NA,NA,Public,4.3,5.6,12.9,14.8,49.4,22.2,11.1,33.3,33.3,NA,NA,5.6,9,7,2,0.6,0.3,0,0,0,7,0,1,0,1,0,2,7,0,0,7,0
"Summer 2022 Hinman Mid E, Mid W",2022-08-03,835 Hinman Ave,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Angela Wang,NA,NA,NA,NA,NA,NA,Public,3,6,6,8.5,42.4,50,0,25,25,NA,NA,6,4,2,2,0.8,-0.5,0,0,0,4,0,0,0,0,0,0,4,0,0,2,0
"Summer 2022 Hinman Cen S, SW, SE",2022-08-03,835 Hinman Ave,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Angela Wang,NA,NA,NA,NA,NA,NA,Public,3.5,4.2,8.6,9.4,38.3,33.3,16.7,33.3,16.7,NA,NA,4.2,6,5,1,0.7,0.4,0,0,0,6,0,0,0,0,0,1,5,0,1,4,0
Summer 2022 Hinman,2022-08-03,835 Hinman Ave,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Angela Wang,NA,NA,NA,NA,NA,NA,Public,4.4,5.6,18.7,21,49.4,27.8,5.6,33.3,33.3,NA,4.5,5.8,18,14,4,0.7,0.6,0,3,0,12,1,1,0,1,0,1,17,0,0,14,0
"Summer 2022 UCES NE, SE, SW, NW",2022-07-29,Unitarian,Evanston,Cook,IL,United States,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Angela Wang,NA,NA,NA,NA,NA,NA,Public,2.7,3.9,8.5,10.3,32.6,30,50,0,20,3,NA,4,10,7,3,0.6,0.4,2,2,0,5,0,1,0,0,0,0,10,0,0,7,0
"Summer 2022 UCES UD1, UD2, UD3",2022-07-29,Unitarian,Evanston,Cook,IL,United States,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Angela Wang,NA,NA,NA,NA,NA,NA,Public,2.5,3.8,6.1,7.6,31,33.3,50,0,16.7,3,NA,4,6,4,2,0.3,0.5,2,1,0,2,0,1,0,0,0,0,6,0,0,4,0
Summer 2022 UCES,2022-07-29,Unitarian,Evanston,Cook,IL,United States,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Angela Wang,NA,NA,NA,NA,NA,NA,Public,2,2.9,9.4,11.2,23.9,45.5,22.7,27.3,4.5,2,5,2.8,22,15,7,0.5,0.1,3,2,1,10,1,5,0,0,0,0,22,0,0,15,0
International mining and chemical lake,2022-07-28,Acorn Pond,Mundelein,Lake,Illinois,Lake,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,LCHD,NA,NA,NA,NA,NA,NA,Public,1,2,2,2.8,14.1,50,50,0,0,NA,NA,2,4,2,2,-2,-2,0,0,0,4,0,0,0,0,0,0,4,0,0,2,0
honey,2022-07-27,Acorn Pond,Mundelein,Lake,Illinois,Lake,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,LCHD,NA,NA,NA,NA,NA,NA,Public,5,5,14.1,14.1,50,0,25,50,25,NA,NA,5,8,8,0,-2,-2,0,0,0,8,0,0,0,0,0,3,5,0,3,5,0
Crawford Immediate Dig Kinder Morgan 2021-15A-F & 2021-15B-F,2022-07-25,2021-15A-F & 2021-15B-F,NA,Cook,IL,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Michael Reitz,NA,NA,NA,NA,NA,NA,Public,0.3,1,0.5,1,5.8,66.7,33.3,0,0,NA,NA,1,3,1,2,0.3,1,0,0,0,2,1,0,0,0,0,0,2,1,0,1,0
Crawford Immediate Dig Kinder Morgan 2021-16A-F & 2021-16B-F,2022-07-25,2021-16A-F & 16B-F,NA,Cook,IL,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Candace Cunningham,NA,NA,NA,NA,NA,NA,Public,0,0,0,0,0,100,0,0,0,NA,NA,NA,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
Crawford Immediate Dig 2021-17A-F & 17B-F,2022-07-25,2021-17A-F & 17B-F,NA,Cook,IL,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Candace Cunningham,NA,NA,NA,NA,NA,NA,Public,1.8,3.7,4.4,6.4,26.2,50,16.7,33.3,0,NA,NA,3.7,6,3,3,0.7,1,0,0,0,5,1,0,0,0,0,0,5,1,0,3,0
Spring 2022 Hinman,2022-07-21,835 Hinman Ave,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Angela Wang,NA,NA,NA,NA,NA,NA,Public,5.3,6.2,20.5,22.4,57.7,13.3,6.7,40,40,NA,4.5,6.5,15,13,2,0.9,0.8,0,2,0,11,0,1,0,1,0,0,15,0,0,13,0
Spring 2022 Oakton,2022-07-21,Oakton Elementary,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Angela Wang,NA,NA,NA,NA,NA,NA,Public,4.7,5.1,22.5,23.4,48.7,17.4,26.1,26.1,30.4,NA,5,5.2,23,21,2,0.7,0.7,0,1,0,18,2,2,0,0,0,0,23,0,0,21,0
Waukegen savanna Forest Preserve,2022-07-20,Waukegan forest Preserv,NA,Lake,Illinois,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,KKlick,NA,NA,NA,NA,NA,NA,Public,2.2,3.4,28.6,35.5,27.3,45.6,21.9,27.2,5.3,3.1,3.9,3.3,169,109,60,0.5,0.1,21,19,7,94,16,12,0,0,0,18,140,11,9,100,0
grassy,2022-07-11,Acorn Pond,Mundelein,Lake,Illinois,Lake,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,LCHD,NA,NA,NA,NA,NA,NA,Public,2.3,3.5,4,4.9,28.6,33.3,33.3,33.3,0,NA,NA,3.5,3,2,1,-2,-2,0,0,0,3,0,0,0,0,0,1,2,0,1,1,0
Gages,2022-07-07,Acorn Pond,Mundelein,Lake,Illinois,Lake,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,LCHD,NA,NA,NA,NA,NA,NA,Public,2.7,4,6.6,8,32.7,33.3,50,0,16.7,NA,NA,4,6,4,2,-2,-2,0,0,0,6,0,0,0,0,0,0,6,0,0,4,0
Grand ave marsh,2022-07-07,Acorn Pond,Mundelein,Lake,Illinois,Lake,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,LCHD,NA,NA,NA,NA,NA,NA,Public,4.1,5.1,13,14.4,45.6,20,20,30,30,NA,NA,5.1,10,8,2,-2,-2,0,0,0,10,0,0,0,0,0,2,8,0,2,6,0
grandwood park,2022-07-07,Acorn Pond,Mundelein,Lake,Illinois,Lake,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,LCHD,NA,NA,NA,NA,NA,NA,Public,3.9,4.3,12.3,12.9,40.8,10,40,30,20,NA,NA,4.3,10,9,1,-2,-2,0,0,0,10,0,0,0,0,0,3,7,0,3,6,0
DP301,2022-07-06,Sauk Village,Sauk Village,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,S. Skowronski,41.486337,-87.59049,"cloudy, low 80s",1hr,Scrub/shrub and emergent wetland,NA,Public,2.1,3,11.7,13.7,24.7,35.5,41.9,19.4,3.2,2.7,NA,3.2,31,21,10,-0.2,-0.8,8,1,3,7,7,5,0,0,0,1,29,1,1,20,0
Offsite Sampling at Volo No. 1,2022-07-01,Volo No. 1,NA,Dupage,IL,United States,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Stephen Chu and Candace Cunningham,NA,NA,NA,NA,NA,NA,Public,1.9,3.3,10.6,14,25.1,58.1,16.1,16.1,9.7,NA,NA,3.3,31,18,13,0.4,-0.1,0,0,0,18,8,5,0,0,0,5,24,2,1,16,1
Volo Immediate Dig No. 1 Project 2020-2AF & BF,2022-06-30,Volo No. 1,NA,Dupage,IL,United States,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Stephen Chu and Candace Cunningham,NA,NA,NA,NA,NA,NA,Public,2.2,3.6,13.2,16.9,28.1,50,13.9,27.8,8.3,NA,NA,3.6,36,22,14,0.3,-0.4,0,0,1,22,6,7,0,0,0,2,31,3,0,22,0
Dugdale Lake,2022-06-29,Acorn Pond,Mundelein,Lake,Illinois,Lake,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,LCHD,NA,NA,NA,NA,NA,NA,Public,3,3.5,7.9,8.6,32.4,14.3,42.9,42.9,0,NA,NA,3.5,7,6,1,-2,-2,0,0,0,7,0,0,0,0,0,2,5,0,2,4,0
Dunns Lake,2022-06-29,Acorn Pond,Mundelein,Lake,Illinois,Lake,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,LCHD,NA,NA,NA,NA,NA,NA,Public,3.6,4.1,10.2,10.8,38.4,12.5,37.5,37.5,12.5,NA,NA,4.1,8,7,1,-2,-2,0,0,0,8,0,0,0,0,0,3,5,0,3,4,0
Eagle lake,2022-06-29,Acorn Pond,Mundelein,Lake,Illinois,Lake,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,LCHD,NA,NA,NA,NA,NA,NA,Public,3.7,4.3,9.8,10.5,39.8,14.3,42.9,14.3,28.6,NA,NA,4.3,7,6,1,-2,-2,0,0,0,7,0,0,0,0,0,1,6,0,1,5,0
MOC 31718 Horizon Receiver Site Church Route 59  SM-2020-0033,2022-06-29,MOC 31718 Horizon Meter,NA,DuPage,IL,United States,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Stephen Chu and Candace Cunningham,NA,NA,NA,NA,NA,NA,Public,1.4,2.6,7.7,10.4,19,60,23.3,13.3,3.3,1,NA,2.7,30,16,14,0.4,0.1,1,0,1,21,7,0,0,0,0,3,24,3,2,13,1
Sauk Village- DP223,2022-06-28,Sauk Village,Sauk Village,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,S. Skowronski,41.484602,-87.54165,"Sunny, mid 80s",2hrs,Hydrophytic wet prairie,NA,Public,2.1,2.7,11.3,12.9,24,31,37.9,31,0,3,3,2.4,29,23,6,-0.5,-0.8,8,3,3,11,2,2,0,0,0,3,26,0,3,20,0
Sauk Village- DP225,2022-06-28,Sauk Village,Sauk Village,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,S. Skowronski,41.48481,-87.540985,"Sunny, mid 80s",1hr,NA,NA,Public,2.7,3.6,12.1,13.9,31.2,25,40,25,10,NA,3,3.7,20,15,5,-0.6,-0.7,0,3,2,11,3,1,0,0,0,2,17,1,2,13,0
Sauk Village- DP227,2022-06-28,Sauk Village,Sauk Village,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Sarah Skowronski,41.484907,-87.538786,"Sunny, mid 80s",NA,NA,NA,Public,1,1.7,3.5,4.5,13,58.3,33.3,8.3,0,1,NA,1.8,12,7,5,-0.3,-0.9,1,0,0,5,5,1,0,0,0,3,9,0,2,5,0
Sauk Village- DP207,2022-06-27,Sauk Village,Sauk Village,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,S. Skowronski,41.484398,-87.558127,"Sunny, low 80s",.5hr,Hydrophytic,NA,Public,1,2.3,2.6,4,15.1,57.1,42.9,0,0,NA,NA,2.3,7,3,4,-0.9,-1.7,0,0,0,3,3,1,0,0,0,1,6,0,1,2,0
Sauk Village- DP213,2022-06-27,Sauk Village,Sauk Village,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,S. Skowronski,41.48438,-87.558105,"Sunny, low 80s",0.5hr,Hydrophytic,NA,Public,1.5,3,3,4.2,21.2,50,50,0,0,NA,NA,3,4,2,2,-1,-2,0,0,0,1,1,2,0,0,0,0,4,0,0,2,0
Sauk Village- DP219,2022-06-27,Sauk Village,Sauk Village,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,S. Skowronski,41.4844988,-87.5448254,"Sunny, low 80s",0.75hrs,Hydrophytic,NA,Public,2.9,4.8,9.2,11.8,37.2,40,20,30,10,NA,NA,4.8,10,6,4,-1.3,-1.7,0,0,0,4,2,4,0,0,0,1,9,0,1,5,0
Wetland 101,2022-06-27,Sauk Village,Sauk Village,Cook,Illinois,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Benjamin Rohr,41.482578,-87.595624,"High 80s, Sunny",.5 Hours,Scrub-Shrub Wetland,NA,Public,2.1,3.2,9.6,12,26.1,42.9,23.8,28.6,4.8,4,1.5,3.3,21,14,7,0.2,-0.1,3,3,3,8,3,1,0,0,0,2,18,1,2,12,0
Wetland 102,2022-06-27,Sauk Village,Sauk Village,Cook,Illinois,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Benjamin Rohr,41.486287,87.592639,"High 80's, Sunny",0.5 Hours,Emergent Wetland,NA,Public,0.9,1.8,2.8,4,12.7,80,0,20,0,4,NA,1.3,10,5,5,0.3,-0.2,1,1,0,7,1,0,0,0,0,2,6,2,2,3,0
Wetland 103,2022-06-27,Sauk Village,Sauk Village,Cook,Illinois,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Benjamin Rohr,41.486753,-87.585462,"High 80's, Sunny",0.5 Hours,Emergent Wetland,NA,Public,0.6,1,2,2.6,8,54.5,45.5,0,0,0.5,1.5,1,11,7,4,-0.2,-0.3,2,2,0,4,2,1,0,0,0,0,10,1,0,7,0
Wetland 104,2022-06-27,Sauk Village,Sauk Village,Cook,Illinois,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Benjamin Rohr,41.486370,-87.585492,"High 80's, Sunny",0.5 Hours,Emergent Wetland,NA,Public,2,2.6,6,6.9,22.9,22.2,55.6,22.2,0,4,1,2.6,9,7,2,-0.3,-0.6,1,1,2,3,1,1,0,0,0,0,8,1,0,7,0
Wetland 105,2022-06-27,Sauk Village,Sauk Village,Cook,Illinois,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Benjamin Rohr,41.486280,-87.586670,"High 80's, Sunny",0.5 Hours,Emergent Wetland,NA,Public,1.8,2.6,7.2,8.6,21.6,37.5,37.5,25,0,2,4.5,2.3,16,11,5,-0.6,-0.6,2,3,3,4,3,1,0,0,0,0,15,1,0,11,0
